title	type	country	release_date	added_date	rating	duration	genres	director	cast	imdb_score	imdb_votes
Dick Johnson Is Dead	Movie	United States	2020	2021-09-25	PG-13	90 min	Documentaries	Kirsten Johnson	NA	7.4	6390
Blood & Water	TV Show	South Africa	2021	2021-09-24	TV-MA	2 Seasons	International TV Shows, TV Dramas, TV Mysteries	NA	Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng	NA	NA
Ganglands	TV Show	NA	2021	2021-09-24	TV-MA	1 Season	Crime TV Shows, International TV Shows, TV Action & Adventure	Julien Leclercq	Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera	7	2460
Jailbirds New Orleans	TV Show	NA	2021	2021-09-24	TV-MA	1 Season	Docuseries, Reality TV	NA	NA	6.6	205
Kota Factory	TV Show	India	2021	2021-09-24	TV-MA	2 Seasons	International TV Shows, Romantic TV Shows, TV Comedies	NA	Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar	9.3	66985
Midnight Mass	TV Show	NA	2021	2021-09-24	TV-MA	1 Season	TV Dramas, TV Horror, TV Mysteries	Mike Flanagan	Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver	7.7	102321
My Little Pony: A New Generation	Movie	NA	2021	2021-09-24	PG	91 min	Children & Family Movies	Robert Cullen, José Luis Ucha	Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr	6.8	3468
Sankofa	Movie	United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia	1993	2021-09-24	TV-MA	125 min	Dramas, Independent Movies, International Movies	Haile Gerima	Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka, Afemo Omilami, Reggie Carter, Mzuri	7	678
The Great British Baking Show	TV Show	United Kingdom	2021	2021-09-24	TV-14	9 Seasons	British TV Shows, Reality TV	Andy Devonshire	Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood	8.6	9564
The Starling	Movie	United States	2021	2021-09-24	PG-13	104 min	Comedies, Dramas	Theodore Melfi	Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor	6.3	11733
Vendetta: Truth, Lies and The Mafia	TV Show	NA	2021	2021-09-24	TV-MA	1 Season	Crime TV Shows, Docuseries, International TV Shows	NA	NA	6.7	232
Bangkok Breaking	TV Show	NA	2021	2021-09-23	TV-MA	1 Season	Crime TV Shows, International TV Shows, TV Action & Adventure	Kongkiat Komesiri	Sukollawat Kanarot, Sushar Manaying, Pavarit Mongkolpisit, Sahajak Boonthanakit, Suthipongse Thatphithakkul, Bhasaworn Bawronkirati, Daweerit Chullasapya, Waratthaya Wongchayaporn, Kittiphoom Wongpentak, Abhicha Thanachanun, Nophand Boonyai, Kittipong Khamsat, Arisara Wongchalee, Jaytiya Naiwattanakul, Pantipa Arunwattanachai, Panupan Jantanawong, Kungtap Saelim, Phumphat Chartsuriyakiat, Issara Veranitinunt, Keerati Sivakuae, Panjai Sirisuwan, Supranee Charoenpol, Suda Chuenban, Visaka Banhansupavat, Pitchatorn Santinatornkul	5.9	281
Je Suis Karl	Movie	Germany, Czech Republic	2021	2021-09-23	TV-MA	127 min	Dramas, International Movies	Christian Schwochow	Luna Wedler, Jannis Niewöhner, Milan Peschel, Edin Hasanović, Anna Fialová, Marlon Boess, Victor Boccard, Fleur Geffrier, Aziz Dyab, Mélanie Fouché, Elizaveta Maximová	NA	NA
Confessions of an Invisible Girl	Movie	NA	2021	2021-09-22	TV-PG	91 min	Children & Family Movies, Comedies	Bruno Garotti	Klara Castanho, Lucca Picon, Júlia Gomes, Marcus Bessa, Kiria Malheiros, Fernanda Concon, Gabriel Lima, Caio Cabral, Leonardo Cidade, Jade Cardozo	5.2	966
Crime Stories: India Detectives	TV Show	NA	2021	2021-09-22	TV-MA	1 Season	British TV Shows, Crime TV Shows, Docuseries	NA	NA	7.2	934
Dear White People	TV Show	United States	2021	2021-09-22	TV-MA	4 Seasons	TV Comedies, TV Dramas	NA	Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito	6.1	24863
Europe's Most Dangerous Man: Otto Skorzeny in Spain	Movie	NA	2020	2021-09-22	TV-MA	67 min	Documentaries, International Movies	Pedro de Echave García, Pablo Azorín Williams	NA	NA	NA
Falsa identidad	TV Show	Mexico	2020	2021-09-22	TV-MA	2 Seasons	Crime TV Shows, Spanish-Language TV Shows, TV Dramas	NA	Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, Géraldine Bazán, Gabriela Roel, Marcus Ornellas	7	351
Intrusion	Movie	NA	2021	2021-09-22	TV-14	94 min	Thrillers	Adam Salky	Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich, Hayes Hargrove, Mark Sivertsen, Brandon Fierro, Antonio Valles, Clint Obenchain	5.3	15464
Jaguar	TV Show	NA	2021	2021-09-22	TV-MA	1 Season	International TV Shows, Spanish-Language TV Shows, TV Action & Adventure	NA	Blanca Suárez, Iván Marcos, Óscar Casas, Adrián Lastra, Francesc Garrido, Stefan Weinert, Julia Möller, Alicia Chojnowski	5.7	1718
Monsters Inside: The 24 Faces of Billy Milligan	TV Show	NA	2021	2021-09-22	TV-14	1 Season	Crime TV Shows, Docuseries, International TV Shows	Olivier Megaton	NA	6.2	3038
Resurrection: Ertugrul	TV Show	Turkey	2018	2021-09-22	TV-14	5 Seasons	International TV Shows, TV Action & Adventure, TV Dramas	NA	Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Taşaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coşkun, Reshad Strik, Hande Subaşı	7.9	35515
Avvai Shanmughi	Movie	NA	1996	2021-09-21	TV-PG	161 min	Comedies, International Movies	K.S. Ravikumar	Kamal Hassan, Meena, Gemini Ganesan, Heera Rajgopal, Nassar, S.P. Balasubrahmanyam	NA	NA
Go! Go! Cory Carson: Chrissy Takes the Wheel	Movie	NA	2021	2021-09-21	TV-Y	61 min	Children & Family Movies	Alex Woo, Stanley Moore	Maisie Benson, Paul Killam, Kerry Gudjohnsen, AC Lim	NA	NA
Jeans	Movie	India	1998	2021-09-21	TV-14	166 min	Comedies, International Movies, Romantic Movies	S. Shankar	Prashanth, Aishwarya Rai Bachchan, Sri Lakshmi, Nassar	6.4	3567
Love on the Spectrum	TV Show	Australia	2021	2021-09-21	TV-14	2 Seasons	Docuseries, International TV Shows, Reality TV	NA	Brooke Satchwell	8.6	5210
Minsara Kanavu	Movie	NA	1997	2021-09-21	TV-PG	147 min	Comedies, International Movies, Music & Musicals	Rajiv Menon	Arvind Swamy, Kajol, Prabhu Deva, Nassar, S.P. Balasubrahmanyam, Girish Karnad	6.7	1212
Grown Ups	Movie	United States	2010	2021-09-20	PG-13	103 min	Comedies	Dennis Dugan	Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten	5.9	247229
Dark Skies	Movie	United States	2013	2021-09-19	PG-13	97 min	Horror Movies, Sci-Fi & Fantasy	Scott Stewart	Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan	6.3	75139
Paranoia	Movie	United States, India, France	2013	2021-09-19	PG-13	106 min	Thrillers	Robert Luketic	Liam Hemsworth, Gary Oldman, Amber Heard, Harrison Ford, Lucas Till, Embeth Davidtz, Julian McMahon, Josh Holloway, Richard Dreyfuss, Angela Sarafyan	NA	NA
Ankahi Kahaniya	Movie	NA	2021	2021-09-17	TV-14	111 min	Dramas, Independent Movies, International Movies	Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary	Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale, Kunal Kapoor, Zoya Hussain, Nikhil Dwivedi, Palomi Ghosh	5.5	853
Chicago Party Aunt	TV Show	NA	2021	2021-09-17	TV-MA	1 Season	TV Comedies	NA	Lauren Ash, Rory O'Malley, RuPaul Charles, Jill Talley, Ike Barinholtz, Jon Barinholtz, Matthew Craig, Bob Odenkirk, Mike Hagerty, Katie Rich, Chris Witaske	5.3	1383
Sex Education	TV Show	United Kingdom	2020	2021-09-17	TV-MA	3 Seasons	British TV Shows, International TV Shows, TV Comedies	NA	Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie	8.3	251168
Squid Game	TV Show	NA	2021	2021-09-17	TV-MA	1 Season	International TV Shows, TV Dramas, TV Thrillers	NA	Lee Jung-jae, Park Hae-soo, Wi Ha-jun, Oh Young-soo, Jung Ho-yeon, Heo Sung-tae, Kim Joo-ryoung, Tripathi Anupam, You Seong-joo, Lee You-mi	8	416738
Tayo and Little Wizards	TV Show	NA	2020	2021-09-17	TV-Y7	1 Season	Kids' TV	NA	Dami Lee, Jason Lee, Bommie Catherine Han, Jennifer Waescher, Nancy Kim	NA	NA
The Father Who Moves Mountains	Movie	NA	2021	2021-09-17	TV-MA	110 min	Dramas, International Movies, Thrillers	Daniel Sandu	Adrian Titieni, Elena Purea, Judith State, Valeriu Andriuță, Tudor Smoleanu, Virgil Aioanei, Radu Botar, Petronela Grigorescu, Bogdan Nechifor, Cristian Bota	5.5	3385
The Stronghold	Movie	NA	2021	2021-09-17	TV-MA	105 min	Action & Adventure, Dramas, International Movies	Cédric Jimenez	Gilles Lellouche, Karim Leklou, François Civil, Adèle Exarchopoulos, Kenza Fortas, Cyril Lecomte, Michaël Abiteboul, Idir Azougli, Vincent Darmuzey, Jean-Yves Berteloot	6.9	9422
Angry Birds	TV Show	Finland	2018	2021-09-16	TV-Y7	1 Season	Kids' TV, TV Comedies	NA	Antti Pääkkönen, Heljä Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen	NA	NA
Birth of the Dragon	Movie	China, Canada, United States	2017	2021-09-16	PG-13	96 min	Action & Adventure, Dramas	George Nolfi	Billy Magnussen, Ron Yuan, Qu Jingjing, Terry Chen, Vanness Wu, Jin Xing, Philip Ng, Xia Yu, Yu Xia	5.6	8112
Chhota Bheem	TV Show	India	2021	2021-09-16	TV-Y7	3 Seasons	Kids' TV	NA	Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil	4.1	822
He-Man and the Masters of the Universe	TV Show	United States	2021	2021-09-16	TV-Y7	1 Season	Kids' TV, TV Sci-Fi & Fantasy	NA	Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore	5.8	1618
Jaws	Movie	United States	1975	2021-09-16	PG	124 min	Action & Adventure, Classic Movies, Dramas	Steven Spielberg	Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman	NA	NA
Jaws 2	Movie	United States	1978	2021-09-16	PG	116 min	Dramas, Horror Movies, Thrillers	Jeannot Szwarc	Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French	NA	NA
Jaws 3	Movie	United States	1983	2021-09-16	PG	98 min	Action & Adventure, Horror Movies, Thrillers	Joe Alves	Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer	NA	NA
Jaws: The Revenge	Movie	United States	1987	2021-09-16	PG-13	91 min	Action & Adventure, Horror Movies, Thrillers	Joseph Sargent	Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson, Lynn Whitfield	NA	NA
My Heroes Were Cowboys	Movie	NA	2021	2021-09-16	PG	23 min	Documentaries	Tyler Greco	NA	NA	NA
Safe House	Movie	South Africa, United States, Japan	2012	2021-09-16	R	115 min	Action & Adventure	Daniel Espinosa	Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rubén Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman	NA	NA
The Smart Money Woman	TV Show	NA	2020	2021-09-16	TV-MA	1 Season	International TV Shows, Romantic TV Shows, TV Comedies	Bunmi Ajakaiye	Osas Ighodaro, Ini Dima-Okojie, Kemi Lala Akindoju, Toni Tones, Ebenezer Eno, Eso Okolocha DIke, Patrick Diabuah, Karibi Fubara, Temisan Emmanuel, Timini Egbuson	6.4	105
Training Day	Movie	United States	2001	2021-09-16	R	122 min	Dramas, Thrillers	Antoine Fuqua	Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes	NA	NA
Castle and Castle	TV Show	Nigeria	2021	2021-09-15	TV-MA	2 Seasons	International TV Shows, TV Dramas	NA	Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi	NA	NA
Dharmakshetra	TV Show	India	2014	2021-09-15	TV-PG	1 Season	International TV Shows, TV Dramas, TV Sci-Fi & Fantasy	NA	Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya DharmChand Kumar, Amit Behl, Maleeka Ghai	8.2	247
InuYasha the Movie 2: The Castle Beyond the Looking Glass	Movie	Japan	2002	2021-09-15	TV-14	99 min	Action & Adventure, Anime Features, International Movies	Toshiya Shinohara	Kappei Yamaguchi, Satsuki Yukino, Mieko Harada, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Kenichi Ogata, Toshiyuki Morikawa, Izumi Ogami	NA	NA
InuYasha the Movie 3: Swords of an Honorable Ruler	Movie	Japan	2003	2021-09-15	TV-14	99 min	Action & Adventure, Anime Features, International Movies	Toshiya Shinohara	Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Ken Narita, Akio Otsuka, Kikuko Inoue	NA	NA
InuYasha the Movie 4: Fire on the Mystic Island	Movie	Japan	2004	2021-09-15	TV-PG	88 min	Action & Adventure, Anime Features, International Movies	Toshiya Shinohara	Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Ken Narita, Cho, Mamiko Noto, Nobutoshi Canna	NA	NA
InuYasha the Movie: Affections Touching Across Time	Movie	Japan	2001	2021-09-15	TV-PG	100 min	Action & Adventure, Anime Features, International Movies	Toshiya Shinohara	Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Kenichi Ogata, Noriko Hidaka, Hisako Kyoda, Ken Narita, Tomokazu Seki	NA	NA
Nailed It	TV Show	United States	2021	2021-09-15	TV-PG	6 Seasons	Reality TV	NA	Nicole Byer, Jacques Torres	NA	NA
Naruto Shippuden the Movie: Blood Prison	Movie	Japan	2011	2021-09-15	TV-14	102 min	Action & Adventure, Anime Features, International Movies	Masahiko Murata	Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki	7.1	5021
Naruto Shippûden the Movie: Bonds	Movie	Japan	2008	2021-09-15	TV-PG	93 min	Action & Adventure, Anime Features, International Movies	Hajime Kamegaki	Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Unsho Ishizuka, Motoko Kumai, Kazuhiko Inoue, Rikiya Koyama, Showtaro Morikubo, Nana Mizuki, Satoshi Hino, Shinji Kawada	NA	NA
Naruto Shippûden the Movie: The Will of Fire	Movie	Japan	2009	2021-09-15	TV-PG	96 min	Action & Adventure, Anime Features, International Movies	Masahiko Murata	Junko Takeuchi, Chie Nakamura, Kazuhiko Inoue, Satoshi Hino, Showtaro Morikubo, Kentaro Ito, Ryoka Yuzuki, Kohsuke Toriumi, Nana Mizuki, Shinji Kawada, Yoichi Masukawa, Koichi Tochika, Yukari Tamura	NA	NA
Naruto Shippuden: The Movie	Movie	Japan	2007	2021-09-15	TV-PG	95 min	Action & Adventure, Anime Features, International Movies	Hajime Kamegaki	Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Koichi Tochika, Ayumi Fujimura, Keisuke Oda, Daisuke Kishio, Fumiko Orikasa, Hidetoshi Nakamura, Tetsuya Kakihara, Kisho Taniyama, Miyuki Sawashiro, Katsuyuki Konishi, Masako Katsuki, Keiko Nemoto, Masashi Ebara, Kazuhiko Inoue, Showtaro Morikubo, Romi Park, Daisuke Ono, Seizo Kato	NA	NA
Naruto Shippuden: The Movie: The Lost Tower	Movie	Japan	2010	2021-09-15	TV-14	85 min	Action & Adventure, Anime Features, International Movies	Masahiko Murata	Junko Takeuchi, Chie Nakamura, Satoshi Hino, Rikiya Koyama, Nobuaki Fukuda, Kenji Hamada, Keiko Nemoto, Saori Hayami, Yumi Toma, Yuko Kobayashi, Fujiko Takimoto, Mutsumi Tamura, Mayuki Makiguchi, Toshiyuki Morikawa	NA	NA
Naruto the Movie 2: Legend of the Stone of Gelel	Movie	Japan	2005	2021-09-15	TV-PG	97 min	Action & Adventure, Anime Features, International Movies	Hirotsugu Kawasaki	Junko Takeuchi, Gamon Kaai, Chie Nakamura, Showtaro Morikubo, Akira Ishida, Yasuyuki Kase, Urara Takano, Sachiko Kojima, Houko Kuwashima, Takako Honda	NA	NA
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom	Movie	Japan	2006	2021-09-15	TV-PG	95 min	Action & Adventure, Anime Features, International Movies	Toshiyuki Tsuru	Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Kazuhiko Inoue, Akio Otsuka, Kyousuke Ikeda, Marika Hayashi, Umeji Sasaki, Masashi Sugawara, Hisao Egawa	NA	NA
Naruto the Movie: Ninja Clash in the Land of Snow	Movie	Japan	2004	2021-09-15	TV-PG	83 min	Action & Adventure, Anime Features, International Movies	Tensai Okamura	Junko Takeuchi, Noriaki Sugiyama, Chie Nakamura, Kazuhiko Inoue, Yuhko Kaida, Tsutomu Isobe, Hirotaka Suzuoki, Jun Karasawa, Harii Kaneko, Ikuo Nishikawa	NA	NA
Nightbooks	Movie	NA	2021	2021-09-15	TV-PG	103 min	Children & Family Movies	David Yarovesky	Winslow Fegley, Lidya Jewett, Krysten Ritter	5.7	8278
Numberblocks	TV Show	United Kingdom	2021	2021-09-15	TV-Y	6 Seasons	Kids' TV	NA	Beth Chalmers, David Holt, Marcel McCalla, Teresa Gallagher	8.6	198
Raja Rasoi Aur Anya Kahaniyan	TV Show	India	2014	2021-09-15	TV-G	1 Season	Docuseries, International TV Shows	NA	NA	NA	NA
Saved by the Bell	TV Show	United States	1994	2021-09-15	TV-PG	9 Seasons	Kids' TV, TV Comedies	NA	Mark-Paul Gosselaar, Tiffani Thiessen, Mario Lopez, Lark Voorhies, Elizabeth Berkley, Dustin Diamond, Dennis Haskins	7.1	34854
Schumacher	Movie	NA	2021	2021-09-15	TV-14	113 min	Documentaries, International Movies, Sports Movies	Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech	Michael Schumacher	7.4	21558
Stories by Rabindranath Tagore	TV Show	India	2015	2021-09-15	TV-PG	1 Season	International TV Shows, TV Dramas	NA	NA	8.8	1295
Too Hot To Handle: Latino	TV Show	NA	2021	2021-09-15	TV-MA	1 Season	International TV Shows, Reality TV, Romantic TV Shows	NA	Itatí Cantoral	NA	NA
A StoryBots Space Adventure	Movie	NA	2021	2021-09-14	TV-Y	13 min	Children & Family Movies	David A. Vargas	Evan Spiridellis, Erin Fitzgerald, Jeff Gill, Fred Tatasciore, Evan Michael Lee, Jared Isaacman, Sian Proctor, Chris Sembroski, Hayley Arceneaux	NA	NA
Jack Whitehall: Travels with My Father	TV Show	United Kingdom	2021	2021-09-14	TV-MA	5 Seasons	British TV Shows, Docuseries, International TV Shows	NA	Jack Whitehall, Michael Whitehall	7.6	5388
King of Boys	Movie	Nigeria	2018	2021-09-14	TV-MA	182 min	Dramas, International Movies	Kemi Adetiba	Sola Sobowale, Adesua Etomi, Remilekun "Reminisce" Safaru, Tobechukwu "iLLbliss" Ejiofor, Toni Tones, Paul Sambo, Jide Kosoko, Sharon Ooja	6.1	404
The World's Most Amazing Vacation Rentals	TV Show	NA	2021	2021-09-14	TV-PG	2 Seasons	Reality TV	NA	NA	6.7	1278
You vs. Wild: Out Cold	Movie	NA	2021	2021-09-14	TV-G	106 min	Children & Family Movies	Ben Simms	Bear Grylls, Jason Derek Prempeh	5.3	102
Yowamushi Pedal	TV Show	Japan	2013	2021-09-14	TV-14	1 Season	Anime Series, International TV Shows	NA	Daiki Yamashita, Kohsuke Toriumi, Jun Fukushima, Hiroki Yasumoto, Showtaro Morikubo, Kentaro Ito, Daisuke Kishio, Yoshitsugu Matsuoka, Junichi Suwabe, Ayaka Suwa, Megumi Han, Tomoaki Maeno, Tsubasa Yonaga, Tetsuya Kakihara, Satoshi Hino, Hiroyuki Yoshino, Atsushi Abe, Koji Yusa, Kouki Miyata, Hiro Shimono, Wataru Hatano, Yuichi Nakamura, Kenji Nojima, Mamoru Miyano, Daisuke Ono, Yuma Uchida, Jun Fukuyama	7.7	808
Little Singham - Black Shadow	Movie	NA	2021	2021-09-11	TV-Y7	48 min	Children & Family Movies, Comedies	Prakash Satam	Sumriddhi Shukla, Jigna Bharadwaj, Sonal Kaushal, Neshma Chemburkar, Ganesh Divekar, Annamaya Verma, Anamay Verma, Manoj Pandey	NA	NA
Tughlaq Durbar	Movie	NA	2020	2021-09-11	TV-14	145 min	Comedies, Dramas, International Movies	Delhiprasad Deenadayalan	Vijay Sethupathi, Parthiban, Raashi Khanna	5.4	1566
Tughlaq Durbar (Telugu)	Movie	NA	2021	2021-09-11	TV-14	145 min	Comedies, Dramas, International Movies	Delhiprasad Deenadayalan	Vijay Sethupathi, Parthiban, Raashi Khanna	NA	NA
Firedrake the Silver Dragon	Movie	NA	2021	2021-09-10	TV-Y7	93 min	Children & Family Movies	Tomer Eshed	Thomas Brodie-Sangster, Felicity Jones, Freddie Highmore, Patrick Stewart, Meera Syal, Sanjeev Bhaskar, Nonso Anozie	NA	NA
Kate	Movie	United States	2021	2021-09-10	R	106 min	Action & Adventure	Cedric Nicolas-Troyan	Mary Elizabeth Winstead, Jun Kunimura, Woody Harrelson, Tadanobu Asano, Miyavi, Michiel Huisman, Miku Martineau	6.2	57689
Lucifer	TV Show	United States	2021	2021-09-10	TV-14	6 Seasons	Crime TV Shows, TV Comedies, TV Dramas	NA	Tom Ellis, Lauren German, Kevin Alejandro, D.B. Woodside, Lesley-Ann Brandt, Scarlett Estevez, Rachael Harris, Aimee Garcia, Tricia Helfer, Tom Welling, Jeremiah W. Birkett, Pej Vahdat, Michael Gladis	8.1	308291
Metal Shop Masters	TV Show	NA	2021	2021-09-10	TV-MA	1 Season	Reality TV	NA	Jo Koy	5.6	546
Omo Ghetto: the Saga	Movie	Nigeria	2020	2021-09-10	TV-MA	147 min	Action & Adventure, Comedies, Dramas	JJC Skillz, Funke Akindele	Funke Akindele, Ayo Makun, Chioma Chukwuka Akpotha, Yemi Eberechi Alade, Blossom Chukwujekwu, Deyemi Okanlawon, Alexx Ekubo, Zubby Michael, Tina Mba, Femi Jacobs	NA	NA
Pokémon Master Journeys: The Series	TV Show	NA	2021	2021-09-10	TV-Y7	1 Season	Anime Series, Kids' TV	NA	Ikue Otani, Sarah Natochenny, Zeno Robinson, Cherami Leigh, James Carter Cathcart, Michele Knotz, Rodger Parsons, Ray Chase, Casey Mongillo, Tara Sands	NA	NA
Prey	Movie	NA	2021	2021-09-10	TV-MA	87 min	International Movies, Thrillers	Thomas Sieben	David Kross, Hanno Koffler, Maria Ehrich, Robert Finster, Yung Ngo, Klaus Steinbacher, Livia Matthes, Nellie Thalbach	4.3	7084
Titipo Titipo	TV Show	NA	2019	2021-09-10	TV-Y	2 Seasons	Kids' TV, Korean TV Shows	NA	Jeon Hae-ri, Kim Eun-ah, Hong Bum-ki, Nam Do-hyeong, Um Sang-hyun	6.6	19
Blood Brothers: Malcolm X & Muhammad Ali	Movie	NA	2021	2021-09-09	PG-13	96 min	Documentaries, Sports Movies	Marcus Clarke	Malcolm X, Muhammad Ali	6.9	906
Mighty Raju	TV Show	NA	2017	2021-09-09	TV-Y7	4 Seasons	Kids' TV	NA	Julie Tejwani, Sabina Malik, Jigna Bhardwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Rajesh Kava	4.2	57
Paradise Hills	Movie	Spain, United States	2019	2021-09-09	TV-MA	95 min	Sci-Fi & Fantasy, Thrillers	Alice Waddington	Emma Roberts, Danielle Macdonald, Awkwafina, Eiza González, Milla Jovovich, Jeremy Irvine, Arnaud Valois, Daniel Horvath	5.3	22298
The Women and the Murderer	Movie	France	2021	2021-09-09	TV-14	92 min	Documentaries, International Movies	Mona Achache, Patricia Tourancheau	NA	6.4	1158
Into the Night	TV Show	Belgium	2021	2021-09-08	TV-MA	2 Seasons	International TV Shows, TV Dramas, TV Mysteries	NA	Pauline Etienne, Laurent Capelluto, Stefano Cassetti, Mehmet Kurtuluş, Babetida Sadjo, Jan Bijvoet, Ksawery Szlenkier, Vincent Londez, Regina Bikkinina, Alba Gaïa Kraghede Bellugi, Nabil Mallat	7.1	30746
JJ+E	Movie	NA	2021	2021-09-08	TV-MA	91 min	Dramas, International Movies, Romantic Movies	Alexis Almström	Elsa Öhrn, Mustapha Aarab, Jonay Pineda Skallak, Magnus Krepper, Loreen, Albin Grenholm, Simon Mezher, Elsa Bergström Terent, Josef Kadim, Yohannes Frezgi	5.3	1658
Show Dogs	Movie	United Kingdom, United States	2018	2021-09-08	PG	90 min	Children & Family Movies, Comedies	Raja Gosnell	Will Arnett, Ludacris, Natasha Lyonne, Stanley Tucci, Jordin Sparks, Gabriel Iglesias, Shaquille O'Neal, Omar Chaparro, Alan Cumming, Andy Beckwith, Delia Sheppard, Kerry Shale	3.9	4653
The Circle	TV Show	United States, United Kingdom	2021	2021-09-08	TV-MA	3 Seasons	Reality TV	NA	Michelle Buteau	7.3	6380
