title	type	country	release_date	added_date	rating	duration	genres	director	cast	imdb_score	imdb_votes
Scarecrow	Movie	Egypt	2019	2020-08-20	TV-MA	121 min	Comedies, International Movies	Khaled Marei	Ahmed Helmy, Menna Shalaby, Khaled El Sawy, Bayoumi Fouad, Entsar, Samy Maghawry, Mahmoud Ellisy, Yasser El Tobgy, Hassan Hosny, Lotfy Labib	NA	NA
The Crimes That Bind	Movie	Argentina	2020	2020-08-20	TV-14	100 min	Dramas, International Movies	Sebastián Schindel	Cecilia Roth, Miguel Ángel Solá, Benjamín Amadeo, Sofía Gala Castiglione, Yanina Ávila, Marcelo Subiotto, Paola Barrientos, Diego Cremonesi, Claudio Martínez Bel	6.7	3912
DeMarcus Family Rules	TV Show	United States	2020	2020-08-19	TV-14	1 Season	Reality TV	NA	NA	6.2	110
High Score	TV Show	United States	2020	2020-08-19	TV-14	1 Season	Docuseries, Science & Nature TV	NA	NA	7.4	7733
Little Singham: Kaal Ka Badla	Movie	NA	2020	2020-08-19	TV-Y7	70 min	Children & Family Movies, Comedies	Prakash Satam	Anamaya Verma, Arushi Talwar, Ganesh Divekar, Jigna Bhardwaj, Krishna Dasadiya, Neshma Chemburkar, Manoj Pandey, Parminder Ghumman, Pranav Vaidya, Saumya Daan, Sonal Kaushal, Sumriddhi Shukla	NA	NA
Drunk Parents	Movie	United States	2019	2020-08-18	R	97 min	Comedies	Fred Wolf	Alec Baldwin, Salma Hayek, Jim Gaffigan, Joe Manganiello, Treat Williams, Ben Platt, Aasif Mandvi, Natalia Cigliuti	NA	NA
Meet the In-Laws	Movie	Nigeria	2017	2020-08-18	TV-PG	75 min	Comedies, Dramas, International Movies	Niyi Akinmolayan	Adeniyi Johnson, Tina Mba, Dele Odule, Lilian Esoro, Amaechi Muonagor, Blessing Onwukwe, Dayo Amusa, Kenneth Okolie	NA	NA
Crazy Awesome Teachers	Movie	Indonesia	2020	2020-08-17	TV-PG	102 min	Comedies, Dramas, International Movies	Sammaria Sari Simanjuntak	Gading Marten, Dian Sastrowardoyo, Faradina Mufti, Boris Bokir, Kevin Ardilova, Shakira Jasmine, Asri Welas, Arswendi Bening Swara, Kiki Narendra, Ibnu Jamil	6.2	438
Glitch Techs	TV Show	United States	2020	2020-08-17	TV-Y7	2 Seasons	Kids' TV	NA	Ricardo Hurtado, Monica Ray, Luke Youngblood, Scott  Kreamer, Dan Milano, Gunnar Sizemore, Zehra Fazal, Sandeep Parikh	NA	NA
Islands of Faith	Movie	Indonesia	2018	2020-08-17	TV-PG	88 min	Documentaries, Faith & Spirituality, International Movies	Chairun Nissa	NA	NA	NA
Les Misérables	Movie	United Kingdom, United States	2012	2020-08-16	PG-13	158 min	Dramas, International Movies, Music & Musicals	Tom Hooper	Hugh Jackman, Russell Crowe, Anne Hathaway, Amanda Seyfried, Sacha Baron Cohen, Helena Bonham Carter, Eddie Redmayne, Aaron Tveit, Samantha Barks, Daniel Huttlestone	7.5	325132
Seventh Son	Movie	United States, United Kingdom, Canada, China	2014	2020-08-16	PG-13	102 min	Action & Adventure, Sci-Fi & Fantasy	Sergei Bodrov	Jeff Bridges, Ben Barnes, Julianne Moore, Alicia Vikander, Antje Traue, Olivia Williams, John DeSantis, Kit Harington, Djimon Hounsou, Gerard Plunkett, Jason Scott Lee	5.5	76395
Stranger	TV Show	South Korea	2020	2020-08-16	TV-MA	2 Seasons	Crime TV Shows, International TV Shows, Korean TV Shows	NA	Seung-woo Cho, Doona Bae, Joon-hyuk Lee, Kyeong-yeong Lee, Jae-myung Yoo, Hye-sun Shin	8.5	7645
Dérè: An African Tale	TV Show	NA	2016	2020-08-15	TV-PG	1 Season	International TV Shows, Romantic TV Shows, TV Dramas	NA	Weruche Opia, Gbenro Ajibade, Ireti Doyle, Keppy Ekpenyong, Carol King, Shaffy Bello, Tosan Edremoda Ugbeye, Nina Iphechukwude Anyianuka, Pearl Nkiru Waturuocha, Emmanuel Ikubese, Omowunmi Dada, Paul Adams, Charles Ukpong, Monica Friday, Kevin Ushi	NA	NA
Rita	TV Show	Denmark	2020	2020-08-15	TV-MA	5 Seasons	International TV Shows, TV Comedies, TV Dramas	NA	Mille Dinesen, Carsten Bjørnlund, Lise Baastrup, Nikolaj Groth, Ellen Hillingsø, Morten Vang Simonsen, Lykke Sand Michelsen, Carsten Norgaard, Sara Hjort Ditlevsen, Alexandre Willaume	8.1	8718
Takki	TV Show	Saudi Arabia	2014	2020-08-15	TV-14	2 Seasons	International TV Shows, TV Dramas	NA	Moayed Althagafi, Khairiah Abulaban, Ali Alsharif, Adel Redwan, Redwan Alremey, Hind Alsaigh, Reem Alhabib, Khaled Bamashmoos, Fahad Ghazoli, Dareen Albayedh, Naif Althufairi, Mohammad Balkhi	6.5	250
What's Your Raashee?	Movie	India	2009	2020-08-15	TV-PG	203 min	Comedies, International Movies, Music & Musicals	Ashutosh Gowariker	Harman Baweja, Priyanka Chopra, Manju Singh, Anjan Srivastav, Darshan Jariwala, Dilip Joshi, Vishwa Badola, Rajesh Vivek, Daya Shankar Pandey, Yuri Suri	4.8	2718
